يخطئ, 1, 0.001585
الرجال, 1, 0.001585
فخرج, 2, 0.003170
زعموا, 1, 0.001585
نستقيم, 1, 0.001585
أخيه, 1, 0.001585
فقال:, 3, 0.004754
العرباض, 1, 0.001585
يملك, 1, 0.001585
الرجلين, 1, 0.001585
بلاء, 1, 0.001585
المدينة, 1, 0.001585
برقة, 1, 0.001585
بالشام, 1, 0.001585
أقره, 1, 0.001585
أختبره, 1, 0.001585
حيث, 1, 0.001585
أختبرك, 1, 0.001585
